Program Name;Description;Program Status;Organization Name;Program Population Served;Address Extra Info;Location Address;Local Areas;Provides Meals;Provides Hampers;Delivery Available;Takeout Available;Wheelchair Accessible;Meal Cost;Hamper Cost;Signup Required;Signup Phone Number;Signup Email;Requires Referral;Referral Agency Name;Referral Phone Number;Referral Email;Latitude;Longitude;Last Update Date;geom
La Boussole - Foodbank;Wed, 1:30pm. For information contact (604) 683-7337 or Laboussole@Lbv.Ca;Open;La Boussole;;Suite 213;312 Main St, Vancouver, BC;Strathcona;False;True;No;Unknown;Yes;;Free;No;;;No;;;;49.281791;-123.099169;2023-07-20T08:24:55-07:00;49.281791, -123.099169
Aboriginal Friendship Centre -Grocery Hampers;An Indigenous-operated program. Delivery services are on a first come, first serve basis with limited availability.;Open;Vancouver Aboriginal Friendship Centre Society;Indigenous families with young children;;1607 E Hastings St, Vancouver, BC;Grandview-Woodland;False;True;Yes;Unknown;Unknown;;Free;Yes;(604) 251-4844;recreation@vafcs.org;No;;;;49.281562;-123.071999;2024-12-06T08:13:43-08:00;49.281562, -123.071999
Marpole Community Food Hub - Grocery Program;Pickup grocery bags every Thursday, 10am-noon. Sign up at the door/contact (604) 836-7419 or foodhub@staugustinemarpole.com. Free for residents of V5W V5X V5Y V5Z V6M V6N V6P.;Open;St. Augustine's Anglican Church;;;8680 Hudson St, Vancouver, BC;Marpole;False;True;No;Unknown;Yes;;Free;No;;;No;;;;49.207246;-123.134299;2025-09-16T07:53:09-07:00;49.207246, -123.134299
St Mary's Kerrisdale - Community Meal;"Every Tuesday, 11:30AM - 12:30PM. Free, sit-down hot lunch. Hot entree or soup, salad,
bread, and sweets. Arrive 30 min prior to enjoy a coffee/tea with others. All welcome!";Open;St Mary's Kerrisdale;;V6M 1P5;2490 W 37th Ave, Vancouver, BC;Arbutus-Ridge;True;False;No;Unknown;Yes;Free;;No;;;No;;;;49.238121;-123.162091;2025-10-07T09:02:15-07:00;49.238121, -123.162091
Gospel Mission Society - Food Program;Serving sandwiches or hot food Wed 7-8pm;Open;Gospel Mission Society;;;255 Dunlevy Ave, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.282399;-123.09564;2025-09-16T04:59:19-07:00;49.282399, -123.09564
CityReach - Club Freedom Meal;A Christ-centred worship service and hot meal. Sun 11am. For info contact jemald@cityreach.org.;Open;CityReach Care Society;;;2650 Slocan St, Vancouver, BC;Renfrew-Collingwood;True;False;No;Unknown;Yes;Free;;No;;;No;;;;49.261161;-123.048888;2023-08-28T06:52:43-07:00;49.261161, -123.048888
VCH - Healthiest Babies Possible Food Support;Available on the 2nd floor. Food access and other supports available. To sign up, drop in or phone Mon to Fri 8:30-4:30PM.;Open;Vancouver Coastal Health;prenatal or pregnant women and youth facing challenging life circumstances;Suite 201;1669 E Broadway, Vancouver, BC;Grandview-Woodland;False;True;No;Unknown;Unknown;;Free;Yes;604 675 3982;hbp@vch.ca;No;;;;49.262625;-123.070543;2024-12-10T01:09:09-08:00;49.262625, -123.070543
Tenth Church - Oasis Cafe;Mon 5:30-7:30pm, Tues 11am-1pm. Dine in meals only. Access via the alley at Ontario street. For info contact oasis.cafe@tenth.ca.;Open;Tenth Church;;;11 W 10th Ave, Vancouver, BC;Mount Pleasant;True;False;No;No;Yes;Free;;No;;;No;;;;49.262351;-123.105783;2023-12-04T01:22:30-08:00;49.262351, -123.105783
Vancouver Community Fridge - Victoria Drive;Fridge, freezer, and pantry stocked with free food and home cooked meals, located in the alley behind the green house, accessible 24/7. More info at https://vcfp.square.site/;Open;Vancouver Community Fridge Project;;located in alley behind house;4040 Victoria Dr, Vancouver, BC;Kensington-Cedar Cottage;False;True;No;Yes;Yes;;Free;No;;;No;;;;49.248881;-123.064653;2022-08-09T09:55:03-07:00;49.248881, -123.064653
Three Links Foundation - Sunday Free Breakfast;Every Sunday, 9:30am to 11:30am. Warm breakfast for individuals experiencing homelessness, featuring items such as ham, egg, and cheese sandwiches, coffee, muffins, cereal, pancakes, hot chocolate, water, and juice.;Open;Three Links Foundation;;;1443 W 8th Ave, Vancouver, BC;;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.26474;-123.136943;2024-04-03T01:28:41-07:00;49.26474, -123.136943
Greater Van Food Bank - Lougheed Hwy Location;Check https://foodbank.bc.ca/ for schedule (Tues, Wed, and Fri 10am-4PM, Thur 1PM - 7PM, and Sat 10AM - 3PM);Open;Greater Vancouver Food Bank Society;Registered clients;;3454 Lougheed Hwy, Vancouver, BC;Renfrew-Collingwood;False;True;No;Unknown;Yes;;Free;Yes;(604) 876-3601;reception@foodbank.bc.ca;No;;;;49.262779;-123.028741;2025-07-11T02:16:11-07:00;49.262779, -123.028741
Food on the Corner;Sat 11am. Soup and coffee plus a bagged lunch with PB&J sandwich, banana, granola bar. Info at https://www.foodonthecorner.ca/;Open;Food on the Corner;;;222 Main St, Vancouver, BC;Strathcona;True;False;No;Unknown;Unknown;Free;;No;;;No;;;;49.282721;-123.098575;2022-11-07T01:01:36-08:00;49.282721, -123.098575
West End Farmers Market - Nutrition Coupons;Farmers Market location accepting Nutrition Coupons. Enrolled households receive minimum of $27/week in vouchers. Market is open Saturdays at 9am-2pm, from May 20th - October 28th.;Open;Vancouver Farmers Markets;eligible enrolled families.;;1100 Comox St, Vancouver, BC;West End;False;True;No;Unknown;Unknown;;Free;Yes;;https://bcfarmersmarket.org/coupon-program/get-involved/individuals/;Unknown;;;;49.281794;-123.12916;2023-04-26T04:19:40-07:00;49.281794, -123.12916
Guru Nanak's Free Kitchen;Hot meal served Saturday 1pm, Sunday 12pm outside of Carnegie Centre.;Open;Guru Nanak Free Kitchen;;Outside Carnegie Centre;401 Main Street;Downtown;True;False;No;Unknown;Unknown;Free;;No;;;No;;;;49.28106;-123.100121;2023-08-28T06:10:16-07:00;49.28106, -123.100121
Seniors Lunch at Kitsilano Neighbourhood House;"Tuesdays 11:00am – 1:00pm.
Light exercise, engaging conversation, entertainment and a delicious meal with dessert!
Drop-in, no registration required. 
Lunch schedule and menu can be found at https://www.kitshouse.org/seniors-55/ [kitshouse.org]
For more information contact: sarad@kitshouse.org or the front desk at Kits House. 
$7 per drop-in fee (annual $10 Kits House membership required)";Open;Kitsilano Neighbourhood House;;;2305 West 7th Ave, Vancouver, BC;Kitsilano;True;False;No;Unknown;Yes;Low cost;;No;;;No;;;;49.265901;-123.158042;2024-12-10T00:56:57-08:00;49.265901, -123.158042
Monthly Seniors Dine and Connect;Make new friends and connect with neighbours over a free, delicious meal. Event runs monthly. The next meals will occur on July 22nd and August 19th, 6:30-8PM. Future lunches will be announced at a later date. Visit https://froghollow.bc.ca/programs-services/seniors/ for the latest information.;Open;Frog Hollow Neighbourhood House;Older adults (age 50+);;2131 Renfrew St, Vancouver, BC;Hastings-Sunrise;False;False;Unknown;No;Yes;;;Yes;(604) 760-5351;seniors@froghollow.bc.ca;Unknown;;;;49.265263;-123.044739;2024-06-10T01:30:58-07:00;49.265263, -123.044739
Vancouver Community Fridge - Point Grey;Fridge, freezer, and pantry stocked with free food. Located inside the carpark. More info at https://vcfp.square.site/ [vcfp.square.site]. Free;Open;Vancouver Community Fridge Project;;;4405 W 8th Ave, Vancouver, BC;West Point Grey;False;False;No;Yes;Yes;;;No;;;No;;;;49.265774;-123.206641;2025-10-14T08:09:11-07:00;49.265774, -123.206641
Vancouver Community Fridge – LMNH;"Fridge, freezer, and pantry stocked with free food. Temporarily located in front of the Soap Dispensary. Available 24/7. 
More info at https://vcfp.square.site/";Open;Vancouver Community Fridge Project;;In front of the Soap Dispensary;3718 Main Street;Riley Park;False;True;No;Yes;Yes;;Unknown;No;;;No;;;;49.251757;-123.100852;2023-08-28T04:27:30-07:00;49.251757, -123.100852
The Kettle Society - Meal Program;Daily @ 11:30am Must sign up in morning prior to meal service. Required to provide name and have completed member orientation to centre (Wednesdays @ 2pm). Takeout available for $0.25. Meal cost $1.;Open;The Kettle Society;;;1725 Venables St, Vancouver, BC;Grandview-Woodland;True;False;No;Yes;Yes;Low cost;;Unknown;;;No;;;;49.276925;-123.070065;2024-12-06T09:01:27-08:00;49.276925, -123.070065
Japanese Community Volunteers - Meals on Wheels;Japanese-style bento meal delivery service for home-bound seniors, including caregivers and people with illness or injury. Every Tuesday except two weeks during the Christmas holiday, 10:30 am – 12:30 pm. Must be home to receive the meals from delivery volunteers. An in-person pre-assessment visit from Community Services staff is required. $7/meal for Tonai Gumi members, $8/meal for non members;Open;Tonari Gumi (Japanese Community Volunteers Association);Home-bound seniors with difficulty cooking, including caregivers and people with illness or injury;101;42 W 8th Ave, Vancouver, BC;Mount Pleasant;True;False;Unknown;Unknown;Unknown;Low cost;;Yes;(604) 687-2172;https://www.tonarigumi.ca/mow [tonarigumi.ca];No;;;;49.263553;-123.105955;2024-12-12T03:30:35-08:00;49.263553, -123.105955
Bryn's Neighbourhood Table;Free, sit-down dinner every Thursday 6-7pm at St. Augustine's Anglican Church. Arrive 30 min prior to enjoy a coffee/tea with others. For info contact (604) 836-7419. Wheelchair accessible. Takeout available.;Open;St. Augustine's Anglican Church;;;8680 Hudson St, Vancouver, BC;Marpole;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.207246;-123.134299;2024-07-25T02:36:06-07:00;49.207246, -123.134299
Christ Church Cathedral - Maundy Cafe;Mon, Thurs, Fri from 11:30am-12:30pm.;Open;Christ Church Cathedral;;;690 Burrard St, Vancouver, BC;Downtown;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.284484;-123.120359;2024-12-06T03:36:22-08:00;49.284484, -123.120359
Care BC - Western and Chinese Meals on Wheels;"Western styled meals delivered weekdays 10:30 am-1pm, priced from $6.50 -9.75.
Chinese meals delivered weekdays 10:30 am-1pm, priced at $9.95.
Must be home to receive the meals. More info at https://www.carebc.ca/western-mow-vancouverrichmond.html.";Open;Health and Home Care Society of BC (aka Care BC);Home-bound older adults including frail seniors, their caregivers, adults with chronic illnesses, or with a debilitating injury;204;3077 Granville St, Vancouver, BC;Fairview;True;False;Yes;Unknown;Unknown;Low cost;;Yes;(604) 732-7638;wmow@carebc.ca;No;;;;49.258422;-123.139174;2024-12-10T01:06:36-08:00;49.258422, -123.139174
Evelyne Saller Centre - Low Cost Meals;Breakfast 10am-12pm, Lunch 11:30am-3pm, Dinner 3-5:50pm. Menu and info at https://vancouver.ca/parks-recreation-culture/evelyne-saller-centre-cafeteria.aspx or (604) 665-3075.;Open;Evelyne Saller Centre;;;404 Alexander St, Vancouver, BC;Strathcona;True;False;No;No;Yes;$2.00;;No;;;No;;;;49.283977;-123.094983;2024-12-06T03:49:12-08:00;49.283977, -123.094983
A Loving Spoonful - Meals and groceries;Eligible individuals and families can be referred by a Doctor, Nurse, Dietitian, Social Worker, or self-refer. For more information on how to refer an individual or family, please call (604) 682-6325. Referrals can be faxed to (604) 682-6327.;Open;Loving Spoonful;individuals and families living with HIV.;;1449 Powell St, Vancouver, BC;Grandview-Woodland;True;False;Yes;Unknown;Unknown;Free;;No;;;No;;;;49.28329;-123.07419;2025-10-07T08:38:02-07:00;49.28329, -123.07419
Sheway - Lunches;Mon-Fri 11:30am-1:30pm. Closed on holidays. Groceries are also available to eligible clients. For information contact (604) 216-1699 or drop in Mon-Fri between 10:30am-3pm.;Open;Sheway;Sheway clients who have a current or recent history of drug and/or alcohol use and are pregnant or parenting;;533 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Unknown;Yes;Free;;No;;;No;;;;49.281501;-123.092398;2024-12-06T01:46:02-08:00;49.281501, -123.092398
Nourishing Neighbours;Free community dinner on the 2nd Monday of every month at 6PM in our Salons. Open to anyone who needs a meal.;Open;St Andrews Wesley United Church;;;1018 Nelson St;;True;False;Unknown;Unknown;Yes;Free;;No;;;Unknown;;;;52.984779;-122.480962;2025-10-02T02:55:35-07:00;52.984779, -122.480962
Trout Lake Farmers Market - Nutrition Coupons;Farmers Market location accepting Nutrition Coupons. Enrolled households receive minimum of $27/week in vouchers. Market is open Saturdays at 9am-2pm from April 1st - October 28th.;Open;Vancouver Farmers Markets;eligible enrolled families.;;2950 Lakewood Dr, Vancouver, BC;Kensington-Cedar Cottage;False;True;No;Unknown;Unknown;;Free;Yes;;https://bcfarmersmarket.org/coupon-program/get-involved/individuals/;No;;;;49.258336;-123.061898;2023-04-26T04:19:18-07:00;49.258336, -123.061898
Quest Non-Profit Grocery Markets (Hastings);Mon-Fri: 9am-6pm. Sat 10am-5pm. Sun and holidays closed. Referral required to shop. For more information on referrals, please visit:  questoutreach.org/refer-clients/;Open;Quest Food Exchange;;;637 E Hastings St, Vancouver, BC;Strathcona;False;True;Unknown;No;No;;Low cost;Unknown;;;Unknown;;;;49.281242;-123.090659;2025-10-14T07:46:50-07:00;49.281242, -123.090659
Aboriginal Mother Centre - Hampers for Elders;An Indigenous-operated program.;Open;Aboriginal Mother Centre Society;Indigenous elders;;2019 Dundas St, Vancouver, BC;Grandview-Woodland;False;True;Yes;Yes;Yes;;Free;Yes;;operations@aboriginalmothercentre.ca;No;;;;49.285156;-123.062728;2020-12-03T04:44:58-08:00;49.285156, -123.062728
DUDES Club;Th at 4pm. Mainly dine-in format. Men are prioritized, and extra meals are handed out to community on a first come, first serve basis.;Open;DUDES club;;;606 Powell St, Vancouver, BC;Strathcona;True;False;No;Unknown;Yes;Free;;Unknown;;;No;;;;49.283002;-123.091232;2023-08-28T08:20:59-07:00;49.283002, -123.091232
Vancouver Second Mile Society - Meal Program;;Open;Vancouver Second Mile Society;;;509 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;$4.00;;Yes;(604) 254-2194;info@vsms.ca;No;;;;49.281283;-123.092787;2024-12-18T07:44:11-08:00;49.281283, -123.092787
Food Stash - Rescued Food Box;Weekly delivered box of ~30 pounds of healthy perishable food (fruit, vegetables, dairy, meat).;Closed;Food Stash Foundation;people experiencing food insecurity who are located within the service area posted at https://www.foodstash.ca/rescued-food-box and who have a self-disclosed disability and/or chronic health condition that makes accessing food challenging.;;290 E 1st Ave, Vancouver, BC;Strathcona;False;True;No;Unknown;Unknown;;$10.00;Yes;;membercoordinator@foodstash.com;No;;;;49.268401;-123.097959;2023-08-16T04:59:09-07:00;49.268401, -123.097959
Washington Community Market;Low cost essential food and household supplies, Mon-Fri 9am-6pm. Sat 10am-5pm. For info contact (604) 428-9605.;Open;Portland Hotel Society (PHS);;Ground Floor;179 E Hastings St, Vancouver, BC;Downtown;False;True;No;No;Yes;;Low cost;No;;;No;;;;49.281418;-123.100279;2024-12-06T03:30:00-08:00;49.281418, -123.100279
Aboriginal Friendship Centre-Elder Meals on Wheels;An Indigenous-operated program. Provides a daily meal and one hamper per month. Delivery services are on a first come, first serve basis with limited availability.;Open;Vancouver Aboriginal Friendship Centre Society;Indigenous Elders;;1607 E Hastings St, Vancouver, BC;Grandview-Woodland;True;True;Yes;Unknown;Unknown;Free;Free;Yes;(604) 251-4844;elders@vafcs.org;No;;;;49.281562;-123.071999;2024-12-06T08:14:01-08:00;49.281562, -123.071999
Covenant House - Hamper Program;;Open;Covenant House;youth under 25;;1302 Seymour St, Vancouver, BC;Downtown;False;True;Unknown;Yes;Yes;;Free;Yes;(604) 685-7474;info@covenanthousebc.org;No;;;;49.275159;-123.126681;2024-12-06T08:15:26-08:00;49.275159, -123.126681
First United – Community Meals;"Northeast corner of Hastings St and Gore St, Vancouver
Monday – Friday, service begins around noon (not served on income assistance days or statutory holidays)
Free, hearty lunch served weekdays via the FIRST Food Truck. Usually hot meals, sometimes able to provide vegetarian option. Available to all. For info, call (604) 681-8365";Open;First United Church;;;;;True;False;No;Yes;Yes;Free;;Unknown;;;No;;;;;;2023-07-20T08:45:53-07:00;
CityReach - Food for Families (YWCA South);Nutritious foodbank. Fri, 1-2pm. Not currently accepting new registrations, more info at https://www.cityreach.org/foodforfamilies;Open;CityReach Care Society;individuals and families referred by a partner agency or school.;Pacific Spirit Terrace;7001 Kerr St, Vancouver, BC;Killarney;False;True;No;Unknown;Yes;;Free;Yes;;fff@cityreach.org;No;;;;49.22013;-123.041331;2024-12-03T00:53:14-08:00;49.22013, -123.041331
Kits House Living Room Food Distribution;"11am - 12:30PM. Fresh and non-perishable food items available to take home. Randomly generated schedule to determine pick-up times. Food is available for first time drop-ins; however, regularly attending participants will be scheduled first. After your first drop-in, you can be added to the weekly randomized list and will be notified on Tuesday about your timeslot. Those without contact info can check in a few days before Friday or drop in on the day of. More info at (604) 736 3588.";Open;Kitsilano Neighbourhood House;;;2305 West 7th Ave, Vancouver, BC;Kitsilano;False;False;Unknown;Unknown;Yes;;;Unknown;;;Unknown;;;;49.265901;-123.158042;2025-01-06T05:58:19-08:00;49.265901, -123.158042
Kitsilano Community Centre Breakfast Program;"Biweekly: 2nd and 4th Saturday, 7:30am-9am. Hot breakfast until 8:45am, showers until 9am, toiletries and
clean change of clothes provided. Valet services available for carts and dogs.";Open;Kitsilano Community Centre;People experiencing homelessness;;2690 Larch St, Vancouver, BC;Kitsilano;True;False;Unknown;Unknown;Unknown;Free;;No;;;No;;;;49.262056;-123.160105;2024-04-03T06:56:02-07:00;49.262056, -123.160105
Kits Cares - Low Cost Food Market;Thurs, 12:30-2:30pm. The Market sells low-cost and subsidized produce and canned goods. Cash, debit and credit accepted. Guests can also enjoy a hot drink and a sweet treat at a cafe area at no cost. Free items of food available. For info contact kitscarescafe@tenth.ca. Operated by Tenth Church.;Open;Tenth Church;;Kits Cares Cafe location as of Sept.7/21;3512 W 7th Ave, Vancouver, BC;Kitsilano;False;True;No;No;Yes;;Low cost;No;;;No;;;;49.265757;-123.182079;2024-04-03T01:15:18-07:00;49.265757, -123.182079
Salvation Army Boundless - Nourishing Hope Hampers;Grocery hampers, pickup by appointment only.;Open;Salvation Army Boundless Vancouver Community and Family Ministeries;;;3213 Fraser St, Vancouver, BC;Riley Park;False;True;No;Unknown;Unknown;;Free;Yes;(604) 872-7676;;No;;;;49.256107;-123.089973;2025-10-15T02:42:06-07:00;49.256107, -123.089973
CityReach - Food For Families (Slocan);Only for individuals and families referred by a partner agency or school. Nutritious foodbank. For families without minors: Tues 3-4:15pm (First and Third Tuesday of each month). For families with minors: Tues 4:30-5:30pm or Thurs 11am-noon. Not currently accepting new registrations, more info at www.cityreach.org/foodforfamilies.;Open;CityReach Care Society;individuals and families referred by a partner agency or school;;2650 Slocan St, Vancouver, BC;Renfrew-Collingwood;False;True;No;Unknown;Yes;;Free;Yes;(604) 254-2489;fff@cityreach.org;No;;;;49.261161;-123.048888;2024-12-06T08:15:09-08:00;49.261161, -123.048888
Directions Youth Services - Meal and Snacks;"Open for snacks 24/7; Meal daily from 8-9 pm. Youth Pantry program Tues/Thurs/Sat, call to inquire. Intake process to become a client.";Open;Family Services of Greater Vancouver;Youth under 25 experiencing homelessness or precariously housed;;1138 Burrard St, Vancouver, BC;Downtown;True;False;Yes;Yes;Unknown;Free;;Yes;(604) 633-1472;directions@fsgv.ca;No;;;;49.279589;-123.12829;2023-10-03T03:41:48-07:00;49.279589, -123.12829
Central Presbyterian - Rescued food distribution;Located at the corner of Thurlow & Pendrell Street. Weekly distribution of rescued foods on Friday from 11:45am to 12:45PM. People are encouraged to bring their own shopping bag, clean plastic bags and a small empty container. Sliding scale entrance fee of $3-5 with 100% proceeds going to the local food bank. No one will be turned down if unable to pay.;Open;Central Presbyterian Church;;;1155 Thurlow Street;;False;True;No;Unknown;Yes;;;No;;;No;;;;49.281028;-123.130949;2025-03-17T03:13:06-07:00;49.281028, -123.130949
Care BC - Chinese Meals on Wheels;Meal delivery service for home-bound people including seniors, caregivers, people with illness or injury. Delivery times are M-F 10:30am-1pm. Must be home to receive the meals. More info at https://www.carebc.ca/chinese-mow-vancouverrichmond.html;Open;Health and Home Care Society of BC (aka Care BC);home-bound people including seniors, caregivers, people with illness or injury.;204;3077 Granville St, Vancouver, BC;Fairview;True;False;Yes;Unknown;Unknown;$9.95;;Yes;(604) 733-6615;cmow@carebc.ca;No;;;;49.258422;-123.139174;2024-12-10T01:08:51-08:00;49.258422, -123.139174
Jewish Family Services - JFS Kitchen;Provides food support through a food bank, meal delivery program, and Jewish holiday assistance. Kosher foods available. For more info visit https://www.jfsvancouver.ca/services/family-and-adult-resources/food-and-support/ or call (604) 257-5151.;Open;Jewish Family Services - The Kitchen;;;54 E 3rd Ave, Vancouver, BC;Mount Pleasant;True;True;Yes;No;Yes;Free;Free;No;;;No;;;;49.268006;-123.103369;2025-09-16T04:49:44-07:00;49.268006, -123.103369
Kitsilano Farmers Market - Nutrition Coupons;Farmers Market location accepting Nutrition Coupons. Enrolled households receive minimum of $27/week in vouchers. Market is open Sundays at 10am-2pm, from May 7th – October 29th.;Open;Vancouver Farmers Markets;eligible enrolled families.;Kits Community Centre parking lot;2690 Larch St, Vancouver, BC;Kitsilano;False;True;Unknown;Unknown;Unknown;;Free;Yes;;https://bcfarmersmarket.org/coupon-program/get-involved/individuals/;No;;;;49.262056;-123.160105;2023-04-26T04:18:33-07:00;49.262056, -123.160105
Riley Park Farmers Market - Nutrition Coupons;Farmers Market location accepting Nutrition Coupons. Enrolled households receive minimum of $27/week in vouchers. Market is open year-round, Saturdays 10am-2pm.;Open;Vancouver Farmers Markets;eligible enrolled families.;;50 E 30th Ave, Vancouver, BC;Riley Park;False;True;Unknown;Unknown;Unknown;;Free;Yes;;https://bcfarmersmarket.org/coupon-program/get-involved/individuals/;Unknown;;;;49.243315;-123.104407;2023-04-26T04:18:56-07:00;49.243315, -123.104407
Mount Pleasant Farmers Market - Nutrition Coupons;Farmers Market location accepting Nutrition Coupons. Enrolled households receive minimum of $27/week in vouchers. Market is open Sundays at 10am-2pm, May 21st – October 29th.;Open;Vancouver Farmers Markets;eligible enrolled families.;;2390 Brunswick St, Vancouver, BC;Mount Pleasant;False;True;Unknown;Unknown;Unknown;;Free;Yes;;https://bcfarmersmarket.org/coupon-program/get-involved/individuals/;Unknown;;;;49.263996;-123.09594;2023-04-26T04:18:28-07:00;49.263996, -123.09594
Kits Neighbourhood House Free Pantry and Fridge;Take what you need and give what you can to this pantry with non-perishable foods and fridge/freezer with perishable items. Available 24/7. Located outside the neighbourhood house on Vine Street. More info at https://www.kitshouse.org/2021/11/02/kitsilano-little-free-pantry/;Open;Kitsilano Neighbourhood House;;;2305 West 7th Ave, Vancouver, BC;Kitsilano;False;True;No;Unknown;Unknown;;Free;No;;;No;;;;49.265901;-123.158042;2023-08-29T04:53:45-07:00;49.265901, -123.158042
Vancouver Community Fridge - Mount Pleasant;The fridge, freezer and pantry are maintained in partnership by Food Stash Foundation and the Vancouver Community Fridge Project. Food is free and everyone is welcome to take what they need and leave what they can. The Fridge is accessible 24/7 and it is in the alley between E 4th Avenue and Scotia Street at the CoFood Community Garden. More info: https://www.foodstash.ca/fridge.;Open;Vancouver Community Fridge Project;;;273 E 4th Ave, Vancouver, BC;Mount Pleasant;False;False;No;Unknown;Yes;;;No;;;No;;;;49.267421;-123.099051;2024-04-16T08:36:20-07:00;49.267421, -123.099051
Mount Pleasant N'hood House - Seniors Lunch;Come and share a meal with your neighbours at our Seniors Lunch on Tuesdays from 12-1PM. Lunch is served at noon so it's best to come at 11:45AM. A single meal costs $5. Contact the front Desk at (604) 879-8208 for more info.;Open;Mount Pleasant Neighbourhood House;Older adults;;800 E Broadway, Vancouver, BC;Mount Pleasant;True;False;No;Unknown;Yes;Low cost;;No;;;No;;;;49.262154;-123.086769;2025-09-11T02:51:21-07:00;49.262154, -123.086769
